date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:15:09	575/575	---M--	404	error ('Not%20Found')	text/html	etag:%2223f-4ae8f0ab47e80%22	http://digitonaut.com/robots.txt		(from )
18:15:10	9988/9988	---M-Z	200	added ('OK')	text/html	date:Thu,%2016%20Feb%202023%2012:45:09%20GMT	http://digitonaut.com/art/lace_tunnel/	C:/My%20Web%20Sites/l/digitonaut.com/art/lace_tunnel/index.html	(from )
18:15:10	12345/12345	---M-Z	200	added ('OK')	text/html	date:Thu,%2016%20Feb%202023%2012:45:09%20GMT	http://digitonaut.com/art/lab_city/	C:/My%20Web%20Sites/l/digitonaut.com/art/lab_city/index.html	(from )
18:15:10	629/629	---M-Z	200	added ('OK')	text/html	date:Thu,%2016%20Feb%202023%2012:45:10%20GMT	http://digitonaut.com/art/lavos/	C:/My%20Web%20Sites/l/digitonaut.com/art/lavos/index.html	(from )
18:15:11	5192/5192	---M-Z	200	added ('OK')	text/html	date:Thu,%2016%20Feb%202023%2012:45:10%20GMT	http://digitonaut.com/art/led_tower/	C:/My%20Web%20Sites/l/digitonaut.com/art/led_tower/index.html	(from )
18:15:11	11883/11883	---M-Z	200	added ('OK')	text/html	date:Thu,%2016%20Feb%202023%2012:45:10%20GMT	http://digitonaut.com/art/layerscape/	C:/My%20Web%20Sites/l/digitonaut.com/art/layerscape/index.html	(from )
18:15:11	3357/3357	---M-Z	200	added ('OK')	text/html	date:Thu,%2016%20Feb%202023%2012:45:11%20GMT	http://digitonaut.com/art/liberation_of_the_true_self/	C:/My%20Web%20Sites/l/digitonaut.com/art/liberation_of_the_true_self/index.html	(from )
18:15:11	4235/4235	---M-Z	200	added ('OK')	application/javascript	etag:W/%22108b-5db9a4306017f%22	http://digitonaut.com/art/lab_city/hub_events.js	C:/My%20Web%20Sites/l/digitonaut.com/art/lab_city/hub_events.js	(from http://digitonaut.com/art/lab_city/)
18:15:11	3700/3700	---M-Z	200	added ('OK')	text/html	date:Thu,%2016%20Feb%202023%2012:45:11%20GMT	http://digitonaut.com/art/lensing_in_space/	C:/My%20Web%20Sites/l/digitonaut.com/art/lensing_in_space/index.html	(from )
18:15:12	18350/18350	---M-Z	200	added ('OK')	text/html	date:Thu,%2016%20Feb%202023%2012:45:11%20GMT	http://digitonaut.com/art/life_of_tree/	C:/My%20Web%20Sites/l/digitonaut.com/art/life_of_tree/index.html	(from )
18:15:12	2097/2097	---M-Z	200	added ('OK')	text/html	date:Thu,%2016%20Feb%202023%2012:45:12%20GMT	http://digitonaut.com/art/light_emitting_particules/	C:/My%20Web%20Sites/l/digitonaut.com/art/light_emitting_particules/index.html	(from )
18:15:12	2853/2853	---M-Z	200	added ('OK')	text/html	date:Thu,%2016%20Feb%202023%2012:45:12%20GMT	http://digitonaut.com/art/light_fog_blobs/	C:/My%20Web%20Sites/l/digitonaut.com/art/light_fog_blobs/index.html	(from )
18:15:12	1264/1264	---M-Z	200	added ('OK')	text/html	date:Thu,%2016%20Feb%202023%2012:45:12%20GMT	http://digitonaut.com/art/lighting_blob/	C:/My%20Web%20Sites/l/digitonaut.com/art/lighting_blob/index.html	(from )
